measured_on,window_days,start_date,end_date,scope,video_id,views,watch_minutes,avg_view_sec,avg_view_pct,likes,comments,subs_gained,shares,like_rate_pct
2026-05-22,28,2026-04-24,2026-05-22,CHANNEL,,164,91,33,17.34,23,1,5,4,14.0
2026-05-22,28,2026-04-24,2026-05-22,Gymnopédie No. 1,rRnl8RZ3EjY,128,64,30,16.03,14,0,3,,10.9
2026-05-22,28,2026-04-24,2026-05-22,Vivaldi - Spring I,0qXLYmZXAx0,20,17,51,25.95,4,1,0,,20.0
2026-05-22,28,2026-04-24,2026-05-22,Joplin - Entertainer,DVIYl09zX-w,1,0,0,0.35,1,0,0,,100.0
2026-05-23,28,2026-04-25,2026-05-23,CHANNEL,,164,91,33,17.34,23,1,5,4,14.0
2026-05-23,28,2026-04-25,2026-05-23,Gymnopédie No. 1,rRnl8RZ3EjY,128,64,30,16.03,14,0,3,,10.9
2026-05-23,28,2026-04-25,2026-05-23,Vivaldi - Spring I,0qXLYmZXAx0,20,17,51,25.95,4,1,0,,20.0
2026-05-23,28,2026-04-25,2026-05-23,Joplin - Entertainer,DVIYl09zX-w,1,0,0,0.35,1,0,0,,100.0
2026-05-29,28,2026-05-01,2026-05-29,CHANNEL,,318,211,40,20.46,30,3,8,5,9.4
2026-05-29,28,2026-05-01,2026-05-29,Gymnopédie No. 1,rRnl8RZ3EjY,140,75,32,17.11,14,0,3,,10.0
2026-05-29,28,2026-05-01,2026-05-29,Joplin - Entertainer,DVIYl09zX-w,98,80,49,22.41,7,2,1,,7.1
2026-05-29,28,2026-05-01,2026-05-29,Vivaldi - Spring I,0qXLYmZXAx0,32,31,59,29.68,4,1,0,,12.5
2026-05-29,28,2026-05-01,2026-05-29,Elgar - Salut d'Amour,zshjmBhus2I,32,14,27,19.65,1,0,0,,3.1
2026-06-01,28,2026-05-04,2026-06-01,CHANNEL,,362,297,49,24.17,34,3,10,6,9.4
2026-06-01,28,2026-05-04,2026-06-01,Gymnopédie No. 1,rRnl8RZ3EjY,145,82,34,17.98,14,0,3,,9.7
2026-06-01,28,2026-05-04,2026-06-01,Joplin - Entertainer,DVIYl09zX-w,111,110,59,27.26,8,2,1,,7.2
2026-06-01,28,2026-05-04,2026-06-01,Vivaldi - Spring I,0qXLYmZXAx0,37,41,67,33.97,4,1,0,,10.8
2026-06-01,28,2026-05-04,2026-06-01,Elgar - Salut d'Amour,zshjmBhus2I,36,19,33,23.44,1,0,1,,2.8
2026-06-01,28,2026-05-04,2026-06-01,Mozart - K.265,PiR9hy6xmGQ,18,33,112,31.2,3,0,1,,16.7
2026-06-05,28,2026-05-08,2026-06-05,CHANNEL,,494,528,64,27.98,50,5,12,7,10.1
2026-06-05,28,2026-05-08,2026-06-05,Gymnopédie No. 1,rRnl8RZ3EjY,157,99,38,20.03,15,0,3,,9.6
2026-06-05,28,2026-05-08,2026-06-05,Joplin - Entertainer,DVIYl09zX-w,120,179,89,40.85,8,2,1,,6.7
2026-06-05,28,2026-05-08,2026-06-05,Mozart - K.265,PiR9hy6xmGQ,97,123,76,21.06,14,1,2,,14.4
2026-06-05,28,2026-05-08,2026-06-05,Elgar - Salut d'Amour,zshjmBhus2I,45,27,37,26.31,1,0,1,,2.2
2026-06-05,28,2026-05-08,2026-06-05,Vivaldi - Spring I,0qXLYmZXAx0,45,58,78,39.3,5,1,0,,11.1
2026-06-05,28,2026-05-08,2026-06-05,Chopin - Nocturne Op.9-2,9EvpHXE3D1s,13,27,125,47.78,3,1,0,,23.1
2026-06-08,28,2026-05-11,2026-06-08,CHANNEL,,541,568,63,26.76,51,7,12,7,9.4
2026-06-08,28,2026-05-11,2026-06-08,Gymnopédie No. 1,rRnl8RZ3EjY,163,103,37,19.97,15,0,3,,9.2
2026-06-08,28,2026-05-11,2026-06-08,Joplin - Entertainer,DVIYl09zX-w,123,183,89,40.73,8,2,1,,6.5
2026-06-08,28,2026-05-11,2026-06-08,Mozart - K.265,PiR9hy6xmGQ,112,129,69,19.2,11,1,2,,9.8
2026-06-08,28,2026-05-11,2026-06-08,Vivaldi - Spring I,0qXLYmZXAx0,47,61,79,39.75,5,1,0,,10.6
2026-06-08,28,2026-05-11,2026-06-08,Elgar - Salut d'Amour,zshjmBhus2I,46,30,39,27.9,1,0,1,,2.2
2026-06-08,28,2026-05-11,2026-06-08,Chopin - Nocturne Op.9-2,9EvpHXE3D1s,23,38,99,37.86,3,1,0,,13.0
2026-06-08,28,2026-05-11,2026-06-08,Pachelbel - Canon in D,B9ENEwjgAhc,11,9,54,15.52,4,2,0,,36.4
2026-06-10,28,2026-05-13,2026-06-10,CHANNEL,,586,690,70,30.03,56,7,12,7,9.6
2026-06-10,28,2026-05-13,2026-06-10,Gymnopédie No. 1,rRnl8RZ3EjY,165,109,39,20.94,15,0,3,,9.1
2026-06-10,28,2026-05-13,2026-06-10,Joplin - Entertainer,DVIYl09zX-w,127,194,91,41.78,9,2,1,,7.1
2026-06-10,28,2026-05-13,2026-06-10,Mozart - K.265,PiR9hy6xmGQ,116,153,79,21.97,11,1,2,,9.5
2026-06-10,28,2026-05-13,2026-06-10,Vivaldi - Spring I,0qXLYmZXAx0,61,72,71,35.91,7,1,0,,11.5
2026-06-10,28,2026-05-13,2026-06-10,Elgar - Salut d'Amour,zshjmBhus2I,51,36,43,30.870000000000005,2,0,1,,3.9
2026-06-10,28,2026-05-13,2026-06-10,Chopin - Nocturne Op.9-2,9EvpHXE3D1s,29,59,123,46.8,3,1,0,,10.3
2026-06-10,28,2026-05-13,2026-06-10,Pachelbel - Canon in D,B9ENEwjgAhc,18,41,137,39.29,4,2,0,,22.2
